	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369	 b: 69.2397839289529	 b: -334.6820886867886	 b: -478.7489852595599	 b: 98.2803430280465
	 r: 0.565660573137608	 g: 0.3304849391155736	 b: 0.31153294473097937	 b: 152.9581591235084	 b: 105.11258278145692	 b: -161.86431470686972	 b: -1.0898770104068092
	 r: 0.14319284646137884	 g: 0.2749107333597827	 b: 0.16772972808008058	 b: 179.27243873409222	 b: 313.02517777031767	 b: 42.704428235725004	 b: 48.06006042664876
	 r: 0.007263405255287332	 g: 0.7207861568041017	 b: 0.14539017914365063	 b: 116.8535416730247	 b: -337.682180242317	 b: -213.20963164159065	 b: 114.59334086123235
	 r: 0.391155735953856	 g: 0.3933835871456038	 b: 0.4371471297341838	 b: 42.13446455275124	 b: 493.06192205572677	 b: 218.02227851191753	 b: 72.99832148197882
	 r: 0.9168065431684317	 g: 0.9289834284493546	 b: 0.5631885738700522	 b: 72.06701864680929	 b: -38.766808069093884	 b: 237.804132206183	 b: -26.8797265541551
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478	 b: 131.2045655690176	 b: -52.92349009674365	 b: 243.8043153172399	 b: -63.826166570024725
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695	 b: 100.04150517288736	 b: -413.40324106570637	 b: -255.80468153935362	 b: 4.4024781029694395
	 r: 0.5646229438154241	 g: 0.6811426129947813	 b: 0.023316141239661855	 b: 93.83037812433241	 b: 85.29947813348792	 b: 250.8670308542131	 b: -123.35142063661611
done
	 r: 0.5647144993438521	 g: 0.17026276436658833	 b: 0.2513199255348369	 b: 69.2397839289529	 b: -334.6820886867886	 b: -478.7489852595599	 b: 98.2803430280465
	 r: 0.9091158787804804	 g: 0.1487777336954863	 b: 0.1783196508682516	 b: 87.42393261513108	 b: -16.32862331003753	 b: -2.390697958311705	 b: 24.65309610278635
	 r: 0.6624347666859951	 g: 0.3954588457899716	 b: 0.6516922513504441	 b: 70.44587542344432	 b: 58.61116367076636	 b: -441.5916013061922	 b: 4.207159642323063
	 r: 0.413251136814478	 g: 0.3630481887264626	 b: 0.1980040894802698	 b: 67.93847468489639	 b: -8.015869624927518	 b: -403.0904263435774	 b: -95.8896450697348
	 r: 0.13864558854945525	 g: 0.9300515762810144	 b: 0.6028931546983245	 b: 51.76854762413404	 b: -417.84087649159216	 b: 112.39405499435406	 b: 0.8711203344828675
	 r: 0.21469771416364025	 g: 0.9337748344370861	 b: 0.33420819727164525	 b: 74.36689352092043	 b: -113.67534409619435	 b: 430.5600146488846	 b: 58.74007385479294
	 r: 0.576219977416303	 g: 0.6904812768944365	 b: 0.7726371044038209	 b: 73.27799310281685	 b: -459.8109073152867	 b: 354.8389538254952	 b: -65.42777794732505
	 r: 0.9437543870357372	 g: 0.3283181249427778	 b: 0.8446913052766503	 b: 25.818048646504103	 b: 489.65556810205385	 b: 191.77147740104374	 b: 121.83574938200019
	 r: 0.8970305490279855	 g: 0.014038514358958708	 b: 0.9583117160557878	 b: 72.97280800805689	 b: 61.04873805963314	 b: 377.49589526047544	 b: -126.56245612964263
	 r: 0.4650105288857692	 g: 0.21561326944792017	 b: 0.8502761925107578	 b: 98.13470870082705	 b: -175.48973052156134	 b: -476.2489089632862	 b: 61.88860744041261
	 r: 0.9226660969878231	 g: 0.9497665334025086	 b: 0.8874477370525223	 b: 84.46974089785455	 b: -228.71010467848748	 b: 309.18131046479687	 b: -92.29578539384136
	 r: 0.03280739768669698	 g: 0.7397076326792199	 b: 0.9098178044984283	 b: 60.47486800744652	 b: 105.76885280922875	 b: 67.48643452253793	 b: -61.63078707235938
	 r: 0.565660573137608	 g: 0.3304849391155736	 b: 0.31153294473097937	 b: 86.4790795617542	 b: 105.11258278145692	 b: -161.86431470686972	 b: -1.0898770104068092
	 r: 0.14319284646137884	 g: 0.2749107333597827	 b: 0.16772972808008058	 b: 99.63621936704611	 b: 313.02517777031767	 b: 42.704428235725004	 b: 48.06006042664876
	 r: 0.007263405255287332	 g: 0.7207861568041017	 b: 0.14539017914365063	 b: 68.42677083651235	 b: -337.682180242317	 b: -213.20963164159065	 b: 114.59334086123235
	 r: 0.391155735953856	 g: 0.3933835871456038	 b: 0.4371471297341838	 b: 31.06723227637562	 b: 493.06192205572677	 b: 218.02227851191753	 b: 72.99832148197882
	 r: 0.9168065431684317	 g: 0.9289834284493546	 b: 0.5631885738700522	 b: 46.033509323404644	 b: -38.766808069093884	 b: 237.804132206183	 b: -26.8797265541551
	 r: 0.06183050019837031	 g: 0.08331553086947234	 b: 0.8713950010681478	 b: 75.6022827845088	 b: -52.92349009674365	 b: 243.8043153172399	 b: -63.826166570024725
	 r: 0.2659993285927915	 g: 0.3164159062471389	 b: 0.46769615771965695	 b: 60.02075258644368	 b: -413.40324106570637	 b: -255.80468153935362	 b: 4.4024781029694395
	 r: 0.5646229438154241	 g: 0.6811426129947813	 b: 0.023316141239661855	 b: 56.915189062166206	 b: 85.29947813348792	 b: 250.8670308542131	 b: -123.35142063661611
done
